code,name,department,aliases
ABA 312,Assessment and Interventions in ABA,ABA,{}
ABA 313,Assessment and Interventions In ABA II,ABA,{}
ABA 330,Foundations of Behavior Analysis,ABA,{}
ABA 340,Ethics in Behavior Analysis,ABA,{}
ABA 350,Research Methods in Behavior Assessment,ABA,{}
ABA 360,Organizational Behavior Management,ABA,{}
ABA 400,Applied Practicum In Aba I,ABA,{}
ABA 401,Applied Practicum In Aba II,ABA,{}
ABA 487,Field Internship I,ABA,{}
ABA 499,Independent Study,ABA,{}
AH 122,Language of World Art,AH,{}
AH 205,Getting Smashed: History of Destruction & Vandalism of Images,AH,{}
AH 206,Design History,AH,{}
AH 211,Introduction to Museology,AH,{}
AH 212,World Art I,AH,{}
AH 214,Modern Art,AH,{}
AH 215,World Art II,AH,{}
AH 220,Islamic Art & Architecture,AH,{}
AH 245,Art Fundamentals for the Elementary Classroom Teacher,AH,{}
AH 262,Art and Architecture in the Roman Catholic World,AH,{}
AH 303,Contemporary Art,AH,{}
AH 312,Nineteenth Century Art,AH,{}
AH 324,Non-western Art,AH,{}
AH 330,"Chemistry & Art: Pigments, History, & the Impact of Resource Extraction",AH,{}
AH 339,Women Artistsand Modernism,AH,{}
AH 341,Study Abroad,AH,{}
AH 346,African/African American Art,AH,{}
AH 347,Latin American Art,AH,{}
AH 348,History of Photography,AH,{}
AH 360,Critical Issues In Museology,AH,{}
AN 225,Cultural Anthropology,AN,{}
AN 250,Anthropology of Food,AN,{}
AN 301,Sex and Gender Across Cultures,AN,{}
AR 111,Drawing I,AR,{}
AR 118,3D Design,AR,{}
AR 200,2D Design and Color,AR,{}
AR 210,"Mediated Identities: Exploring and Understanding Cultural Identity through Sound, Performance and Video Art",AR,{}
AR 216,Watercolor,AR,{}
AR 220,Digital Art I,AR,{}
AR 221,Digital Illustration,AR,"{""Computer Illustration""}"
AR 224,Graphic Design I,AR,{}
AR 226,Drawing II,AR,{}
AR 227,Life Drawing,AR,{}
AR 229,Photography I,AR,{}
AR 233,Relief Printmaking,AR,{}
AR 235,Serigraphy,AR,{}
AR 236,Video Art,AR,{}
AR 243,Ceramics I,AR,{}
AR 248,Typography I,AR,{}
AR 250,Sculpture I,AR,{}
AR 262,Concepts of Painting,AR,{}
AR 280,Painting I,AR,{}
AR 308,Photography II,AR,{}
AR 310,Junior Comprehensive,AR,{}
AR 314,Exploratory Painting,AR,{}
AR 315,Intaglio,AR,{}
AR 319,Intermediate Sculpture,AR,{}
AR 327A,Life Drawing II,AR,{}
AR 327B,Life Drawing III,AR,{}
AR 337,Identity Design,AR,{}
AR 339,Video Art II,AR,{}
AR 341,Interm Painting I,AR,{}
AR 342,Interm Painting II,AR,{}
AR 343,Ceramics II,AR,{}
AR 348,Graphic Design II,AR,{}
AR 349,Digital Art II,AR,{}
AR 350,Digital Imaging I,AR,{}
AR 357,Web Design,AR,{}
AR 358,Typography II,AR,{}
AR 360,Interactive Design,AR,{}
AR 404,Intermediate Intaglio,AR,{}
AR 414,3D Animation,AR,{}
AR 415,Exploratory Drawing,AR,{}
AR 417A,Advanced Painting I,AR,{}
AR 417B,Advanced Painting II,AR,{}
AR 419,Multimedia,AR,{}
AR 437,Adv Portfolio Design,AR,{}
AR 440,Advanced Photography,AR,{}
AR 445,Advanced Studio Projects,AR,{}
AR 450,Advanced Sculpture,AR,{}
AR 455,Senior Seminar,AR,{}
AR 456,Digital Imaging II,AR,{}
AR 465,B.A. Senior Exhibition,AR,{}
AR 466,BFA Thesis and Exhibition,AR,{}
AR 487,Field Internship I,AR,{}
AR 489,Field Internship II,AR,{}
AR 490,Field Internship III,AR,{}
AR 499,Independent Study,AR,{}
AS 101,American Sign Language I,AS,{}
AS 102,American Sign Language II,AS,{}
AS 103,American Sign Language III,AS,{}
AS 125,Introduction to the Deaf Community,AS,{}
AS 201,Intermediate Asl I,AS,{}
AS 202,Intermediate Asl II,AS,{}
AT 230,Introduction to Art Therapy,AT,{}
AT 310,Art Therapy Methods,AT,{}
AT 320,Art Therapy In Practice,AT,{}
BI 101,General Biology I,BI,{}
BI 101L,General Biology I Laboratory,BI,{}
BI 102,General Biology II,BI,{}
BI 102L,General Biology II Laboratory,BI,{}
BI 103,Biological Principles,BI,{}
BI 103L,Biological Principles Laboratory,BI,{}
BI 106,Introductory Ecology,BI,{}
BI 109,Marine Biology,BI,{}
BI 110,The Human Body,BI,{}
BI 203,Human Anatomy and Physiology I,BI,{}
BI 203L,Human Anatomy and Physiology Laboratory I,BI,{}
BI 204,Human Anatomy and Physiology II,BI,{}
BI 204L,Human Anatomy and Physiology Laboratory I,BI,{}
BI 207,Physiology,BI,{}
BI 207L,Physiology Lab,BI,{}
BI 208,Anatomy,BI,{}
BI 208L,Anatomy Lab,BI,{}
BI 210,Cell Biology,BI,{}
BI 210L,Cell Biology Laboratory,BI,{}
BI 212,Biostatistics,BI,{}
BI 216,Statistics for Biology,BI,{}
BI 217,Nursing Microbiology,BI,{}
BI 217L,Nursing Microbiology Laboratory,BI,{}
BI 220,Bioinformatics,BI,{}
BI 220L,Bioinformatics La,BI,{}
BI 301,Histology,BI,{}
BI 301L,Histology Laboratory,BI,{}
BI 302,Embryology,BI,{}
BI 302L,Embryology Laboratory,BI,{}
BI 305,Environmental Biology,BI,{}
BI 305L,Environmental Biology Lab,BI,{}
BI 311,Research As A Tool,BI,{}
BI 315,Microbiology,BI,{}
BI 315L,Microbiology Laboratory,BI,{}
BI 315N,Nursing Microbiology,BI,{}
BI 315X,Nursing Microbiology Laboratory,BI,{}
BI 316,Immunology,BI,{}
BI 316L,Immunology Laboratory,BI,{}
BI 402,Genetics,BI,{}
BI 402L,Genetics Laboratory,BI,{}
BI 405,Physiology Of Disease,BI,{}
BI 487,Field Internship,BI,{}
BI 488,Field Internship,BI,{}
BI 489,Field Internship,BI,{}
BI 489A,Field Internship,BI,{}
BI 489B,Field Internship,BI,{}
BI 495,Professional Program (Taken Twice),BI,{}
BI 499,Independent Study,BI,{}
BU 101,Survey of Economics,BU,{}
BU 105,Contemporary Business,BU,{}
BU 110,Business Communications,BU,{}
BU 205,Principles of Economics I,BU,{}
BU 208,Introduction to International Business,BU,{}
BU 210,Principles of Economics II,BU,{}
BU 211,Accounting I,BU,{}
BU 212,Accounting II,BU,{}
BU 213,Introduction to Healthcare Administration,BU,{}
BU 214,Ethical Issues in Healthcare,BU,{}
BU 217,Accounting for Healthcare Managers,BU,{}
BU 220,Introduction to Supply Chain Management,BU,{}
BU 221,Marketing,BU,{}
BU 223,Healthcare Marketing,BU,{}
BU 230,Data Visualization,BU,{}
BU 235,Choice: From Self-Management to Leader,BU,{}
BU 236,Where Law Meets Ethics: Corporate Social Responsibility,BU,{}
BU 238,The Startup of You,BU,{}
BU 245,Decision Analysis,BU,{}
BU 251,Introduction to Sport Management,BU,{}
BU 252,Introduction to Esports Management,BU,{}
BU 260,Leading and Managing Holistically,BU,{}
BU 299,Independent Study,BU,{}
BU 301,Business Analytics,BU,{}
BU 302,"Healthcare Budgeting, Finance, and Payments",BU,{}
BU 305,Introduction to Statistics,BU,{}
BU 307,Sociological Impact of Esports,BU,{}
BU 321,Intermediate Accounting I,BU,{}
BU 322,Intermediate Accounting II,BU,{}
BU 323,Cost Accounting,BU,{}
BU 325,Auditing,BU,{}
BU 327,International Marketing,BU,{}
BU 328,Esports Marketing and Branding,BU,{}
BU 331,Sport Ethics,BU,{}
BU 332,Federal Income Taxes,BU,{}
BU 333,Sport Marketing,BU,{}
BU 334,Facility Operations and Event Management,BU,{}
BU 335,Enterprise Resource Planning,BU,{}
BU 337,Principles of Finance,BU,{}
BU 341,Study Abroad,BU,{}
BU 343,"Creativity, Innovation, and the Competitive Edge",BU,{}
BU 347,Public Relations,BU,{}
BU 348,Principles of Environmental Law,BU,{}
BU 350,Legal Environment of Business I,BU,{}
BU 356,Healthcare Law and Regulation,BU,{}
BU 360,Advertising,BU,{}
BU 370,Organizational Behavior,BU,{}
BU 371,Operations Management in Healthcare,BU,{}
BU 372,Sport Law and Risk Management,BU,{}
BU 375,International Business Management,BU,{}
BU 382,Sports Media,BU,{}
BU 400,Quantitative Financial Economics,BU,{}
BU 403,Securities Industries Essentials Exam Preparation,BU,{}
BU 416,Selling and Sales Management,BU,{}
BU 417,International Finance,BU,{}
BU 420,Ethical Business Strategy,BU,{}
BU 424,Quality and Process Improvement in Healthcare,BU,{}
BU 425,Consumer Research and Product Innovation,BU,{}
BU 427,Digital Marketing,BU,{}
BU 430,Advanced Topics in Accounting,BU,{}
BU 433,Financial Markets I,BU,{}
BU 434,Financial Markets II,BU,{}
BU 435,Strategic Leadership in the Sports Industry,BU,{}
BU 436,Project and Operations Management,BU,{}
BU 441,Data Analytics Research Seminar,BU,{}
BU 455,Financial Economics,BU,{}
BU 460,Entrepreneurship and Business Planning,BU,{}
BU 465,Managerial Epidemiology,BU,{}
BU 470,Human Resource Management,BU,{}
BU 471,Marketing Management,BU,{}
BU 472,Legal Aspects of Human Resource Management,BU,{}
BU 482,Leadership: Managing and Delivering Organizational Change,BU,{}
BU 485,Leadership and Organizational Change,BU,{}
BU 487,Field Internship I,BU,{}
BU 489,Field Internship II,BU,{}
BU 490,Field Internship III,BU,{}
BU 491,International Travel Experience,BU,{}
BU 499,Independent Study,BU,{}
BU 634,Accounting Information Systems,BU,{}
CD 100,Introduction to Communication Science and Disorders,CD,{}
CD 110,Speech Anatomy and Physiology,CD,{}
CD 205,Speech and Language Development,CD,{}
CD 310,Audiology,CD,{}
CD 315,Phonetics,CD,{}
CD 325,Speech and Hearing Science,CD,{}
CD 340,Aural Rehabilitation,CD,{}
CD 350,"Neurological Bases of Speech, Language & Hearing",CD,{}
CD 415,Communication Disorders Across the Lifespan,CD,{}
CD 487,Clinical Observation and Capstone,CD,{}
CH 011,"General Chemistry, Calculation and Computation I",CH,{}
CH 012,"General Chemistry, Calculation and Computation II",CH,{}
CH 100,Connecting to Chemistry,CH,{}
CH 105,World Issue in Chemistry,CH,{}
CH 110,Principles Of Chemistry,CH,{}
CH 110L,Principles of Chemistry Laboratory,CH,{}
